title,author,pubDate,pubPlace,compPlace,compDate,תיאור_חדש,heShortDesc,heDesc,order,Source,type
 דברי חמודות על ברכות,יום-טוב ליפמן הלר,ה' שפח,פראג,פראג,ה' שסב - ה' שסב (בקירוב),,,"פירוש על הרא""ש במסכת ברכות מבעל ה""תוספות יום טוב"".",,sefaria,file
 דברי חמודות על מנחות,יום-טוב ליפמן הלר,ה' שפח,פראג,,ה' שסב - ה' שסב (בקירוב),,,,,sefaria,file
 דברי חמודות על נדה,יום-טוב ליפמן הלר,ה' שפח,פראג,לאופולדשטאט,ה' שסב - ה' שסב (בקירוב),,,,,sefaria,file
 חידושי הלכות על מסכת כתובות,"מהרש""א",ה' תל,וילנה,פוזן,ה' שמ - ה' שמ (בקירוב),,,"פירוש על חלק ההלכה של גמרא, רש""י, ותוספות שבתלמוד בבלי.",,sefaria,file
 חידושי הלכות על מסכת נדה,"מהרש""א",ה' תל,וילנה,פוזן,ה' שמ - ה' שמ (בקירוב),,,"פירוש על חלק ההלכה של גמרא, רש""י, ותוספות שבתלמוד בבלי.",,sefaria,file
 מנחת שי על אסתר,ידידיה שלמה רפאל נורצי,ה' תקב,מנטובה,,ה' רפו,,,"פירוש לתנ""ך העוסק בעיקר בצורתן, ניקודן ומסורתן של תיבות ואותיות המקרא. מטרת הפירוש היא לברר וללבן את גרסאות המקרא ולקבוע את הנוסח הנכון, על פי מה שדנו בעניינים אלו בספרי התלמוד והמדרש.",,sefaria,file
 מעדני יום טוב על ברכות,יום-טוב ליפמן הלר,ה' שפח,פראג,פראג,ה' שסב - ה' שסב (בקירוב),,,,,sefaria,file
 מעדני יום טוב על מנחות,יום-טוב ליפמן הלר,,,,ה' שנ - ה' שנ (בקירוב),,,,,sefaria,file
 מעדני יום טוב על נדה,יום-טוב ליפמן הלר,ה' שפח,פראג,פראג,ה' שסב - ה' שסב (בקירוב),,,,,sefaria,file
 פלפולא חריפתא על בבא בתרא,יום-טוב ליפמן הלר,ה' שעט,פראג,פראג,ה' שס - ה' שס (בקירוב),,,,,sefaria,file
 פלפולא חריפתא על בבא מציעא,יום-טוב ליפמן הלר,ה' שעט,פראג,פראג,ה' שס - ה' שס (בקירוב),,,,,sefaria,file
 פלפולא חריפתא על מכות,יום-טוב ליפמן הלר,ה' שעט,פראג,פראג,ה' שס - ה' שס (בקירוב),,,,,sefaria,file
 פלפולא חריפתא על סנהדרין,יום-טוב ליפמן הלר,ה' שעט,פראג,פראג,ה' שס - ה' שס (בקירוב),,,,,sefaria,file
 פלפולא חריפתא על עבודה זרה,יום-טוב ליפמן הלר,ה' שעט,פראג,פראג,ה' שס - ה' שס (בקירוב),,,,,sefaria,file
 פלפולא חריפתא על שבועות,יום-טוב ליפמן הלר,ה' שעט,פראג,פראג,ה' שס - ה' שס (בקירוב),,,,,sefaria,file
 קרבן נתנאל על ביצה,נתנאל וייל,ה' תקיה,קרלסרוהה,Mühringen,ה' תקה - ה' תקה (בקירוב),,,,,sefaria,file
 קרבן נתנאל על גיטין,נתנאל וייל,ה' תקיה,קרלסרוהה,Mühringen,ה' תקה - ה' תקה (בקירוב),,,,,sefaria,file
 קרבן נתנאל על יבמות,נתנאל וייל,ה' תקיה,קרלסרוהה,Mühringen,ה' תקה - ה' תקה (בקירוב),,,,,sefaria,file
 קרבן נתנאל על כתובות,נתנאל וייל,ה' תקיה,קרלסרוהה,Mühringen,ה' תקה - ה' תקה (בקירוב),,,,,sefaria,file
 קרבן נתנאל על מגילה,נתנאל וייל,ה' תקיה,קרלסרוהה,Mühringen,ה' תקה - ה' תקה (בקירוב),,,,,sefaria,file
 קרבן נתנאל על נדרים,נתנאל וייל,,,Mühringen,ה' תקה - ה' תקה (בקירוב),,,,,sefaria,file
